title,label,category,explanation_tokens,platform
Beginner Friendly Students Course,0,none,,YouTube
Top 5 Python Videos You Must Watch!,1,shock_value,Startup|Python,YouTube
Cybersecurity Review and Performance Test,0,none,,YouTube
This Machine Learning Trick Went Viral Overnight!,1,curiosity_gap,AI|Gaming,YouTube
Beginner Friendly Machine Learning Course,0,none,,YouTube
Beginner Friendly Engineer Course,0,none,,YouTube
Everyone Is Talking About This Python!,1,exaggeration,Health|Machine Learning,YouTube
Data Science Explained in 10 Minutes,0,none,,YouTube
The Truth About Engineer Finally Revealed!,1,exaggeration,Engineer|Kerala,YouTube
Beginner Friendly Startup Course,0,none,,YouTube
This Technology Experiment Shocked Everyone!,1,shock_value,Health|AI,YouTube
Complete Guide to Web Development,0,none,,YouTube
Cybersecurity Project Explanation,0,none,,YouTube
People Are Shocked After Watching This Web Development!,1,emotional,Engineer|Startup,YouTube
People Are Shocked After Watching This Technology!,1,curiosity_gap,Machine Learning|Cybersecurity,YouTube
I Tried Kerala And THIS Happened!,1,emotional,Students|Web Development,YouTube
Everyone Is Talking About This Technology!,1,exaggeration,Cybersecurity|Machine Learning,YouTube
I Tried Cybersecurity And THIS Happened!,1,shock_value,Students|Web Development,YouTube
Cybersecurity Project Explanation,0,none,,YouTube
Cybersecurity Explained in 10 Minutes,0,none,,YouTube
You Won't Believe This Startup Video!,1,shock_value,Engineer|Python,YouTube
Python Basics for Students,0,none,,YouTube
Students Tutorial for Beginners,0,none,,YouTube
Startup Explained in 10 Minutes,0,none,,YouTube
Complete Guide to Health,0,none,,YouTube
I Tried Gaming And THIS Happened!,1,misleading_number,AI|Web Development,YouTube
AI Analysis with Real Examples,0,none,,YouTube
I Tried Technology And THIS Happened!,1,emotional,Cybersecurity|Mobile,YouTube
Everyone Is Talking About This Machine Learning!,1,exaggeration,Web Development|Engineer,YouTube
You Will Regret Missing This Students Video!,1,shock_value,Finance|Data Science,YouTube
Everyone Is Talking About This Data Science!,1,shock_value,Kerala|Web Development,YouTube
You Will Regret Missing This Health Video!,1,shock_value,Data Science|Startup,YouTube
The Truth About Machine Learning Finally Revealed!,1,misleading_number,Finance|Kerala,YouTube
Top 5 Cybersecurity Videos You Must Watch!,1,curiosity_gap,Cybersecurity|Startup,YouTube
Gaming Project Explanation,0,none,,YouTube
This Cybersecurity Video Is Breaking The Internet!,1,exaggeration,Cybersecurity|Gaming,YouTube
How Technology Works Step by Step,0,none,,YouTube
Gaming Tutorial for Beginners,0,none,,YouTube
Startup Explained in 10 Minutes,0,none,,YouTube
You Won't Believe This Mobile Video!,1,exaggeration,Gaming|Engineer,YouTube
The Truth About Health Finally Revealed!,1,emotional,Startup|Kerala,YouTube
Data Science Basics for Students,0,none,,YouTube
People Are Shocked After Watching This Engineer!,1,misleading_number,Kerala|Data Science,YouTube
Top 5 Python Videos You Must Watch!,1,emotional,Machine Learning|Students,YouTube
Startup Explained in 10 Minutes,0,none,,YouTube
People Are Shocked After Watching This Gaming!,1,shock_value,Startup|Web Development,YouTube
This Data Science Trick Went Viral Overnight!,1,misleading_number,Technology|Cybersecurity,YouTube
This Health Trick Went Viral Overnight!,1,curiosity_gap,Cybersecurity|Machine Learning,YouTube
This Python Trick Went Viral Overnight!,1,misleading_number,Gaming|Kerala,YouTube
Web Development Review and Performance Test,0,none,,YouTube
Mobile Project Explanation,0,none,,YouTube
This Web Development Experiment Shocked Everyone!,1,emotional,Finance|Startup,YouTube
Machine Learning Project Explanation,0,none,,YouTube
This Machine Learning Trick Went Viral Overnight!,1,curiosity_gap,Machine Learning|Engineer,YouTube
This Mobile Experiment Shocked Everyone!,1,exaggeration,Engineer|Students,YouTube
Engineer Demo and Walkthrough,0,none,,YouTube
Beginner Friendly Technology Course,0,none,,YouTube
Engineer Analysis with Real Examples,0,none,,YouTube
How Data Science Works Step by Step,0,none,,YouTube
Everyone Is Talking About This Mobile!,1,misleading_number,AI|Cybersecurity,YouTube
Beginner Friendly Technology Course,0,none,,YouTube
People Are Shocked After Watching This Python!,1,exaggeration,Health|Finance,YouTube
Finance Tutorial for Beginners,0,none,,YouTube
Startup Analysis with Real Examples,0,none,,YouTube
Complete Guide to AI,0,none,,YouTube
Python Tutorial for Beginners,0,none,,YouTube
You Won't Believe This Web Development Video!,1,shock_value,Finance|Health,YouTube
Machine Learning Explained in 10 Minutes,0,none,,YouTube
This Gaming Trick Went Viral Overnight!,1,exaggeration,Machine Learning|Engineer,YouTube
Beginner Friendly AI Course,0,none,,YouTube
Cybersecurity Demo and Walkthrough,0,none,,YouTube
This Machine Learning Trick Went Viral Overnight!,1,exaggeration,Python|Students,YouTube
Startup Analysis with Real Examples,0,none,,YouTube
Data Science Demo and Walkthrough,0,none,,YouTube
You Will Regret Missing This Gaming Video!,1,curiosity_gap,Students|AI,YouTube
You Will Regret Missing This Students Video!,1,misleading_number,Health|AI,YouTube
How Data Science Works Step by Step,0,none,,YouTube
People Are Shocked After Watching This Web Development!,1,exaggeration,Engineer|Data Science,YouTube
You Won't Believe This Startup Video!,1,exaggeration,AI|Data Science,YouTube
Machine Learning Project Explanation,0,none,,YouTube
I Tried Web Development And THIS Happened!,1,misleading_number,Finance|Python,YouTube
I Tried Gaming And THIS Happened!,1,misleading_number,Gaming|Web Development,YouTube
Python Review and Performance Test,0,none,,YouTube
Startup Project Explanation,0,none,,YouTube
Gaming Project Explanation,0,none,,YouTube
Complete Guide to Cybersecurity,0,none,,YouTube
Complete Guide to Technology,0,none,,YouTube
The Truth About Kerala Finally Revealed!,1,shock_value,Finance|AI,YouTube
This Startup Trick Went Viral Overnight!,1,misleading_number,AI|Engineer,YouTube
Complete Guide to Health,0,none,,YouTube
Gaming Analysis with Real Examples,0,none,,YouTube
Kerala Demo and Walkthrough,0,none,,YouTube
You Will Regret Missing This Machine Learning Video!,1,exaggeration,Engineer|Web Development,YouTube
The Truth About Gaming Finally Revealed!,1,exaggeration,Web Development|Startup,YouTube
Data Science Analysis with Real Examples,0,none,,YouTube
Startup Basics for Students,0,none,,YouTube
Everyone Is Talking About This Finance!,1,exaggeration,Gaming|Web Development,YouTube
Finance Basics for Students,0,none,,YouTube
Startup Analysis with Real Examples,0,none,,YouTube
How Startup Works Step by Step,0,none,,YouTube
Everyone Is Talking About This Web Development!,1,exaggeration,Web Development|Finance,YouTube
The Truth About Students Finally Revealed!,1,shock_value,Python|Mobile,YouTube
This Health Video Is Breaking The Internet!,1,shock_value,Data Science|Python,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
This Kerala Trick Went Viral Overnight!,1,exaggeration,Startup|Mobile,YouTube
This Mobile Trick Went Viral Overnight!,1,shock_value,Engineer|Mobile,YouTube
You Won't Believe This Finance Video!,1,curiosity_gap,Startup|Kerala,YouTube
You Won't Believe This Cybersecurity Video!,1,curiosity_gap,Machine Learning|Students,YouTube
People Are Shocked After Watching This Students!,1,shock_value,AI|Python,YouTube
This Technology Trick Went Viral Overnight!,1,emotional,Mobile|Kerala,YouTube
I Tried Finance And THIS Happened!,1,shock_value,Finance|Gaming,YouTube
Startup Tutorial for Beginners,0,none,,YouTube
Complete Guide to Mobile,0,none,,YouTube
Health Basics for Students,0,none,,YouTube
People Are Shocked After Watching This Data Science!,1,misleading_number,AI|Finance,YouTube
Top 5 Web Development Videos You Must Watch!,1,curiosity_gap,Gaming|Web Development,YouTube
Startup Tutorial for Beginners,0,none,,YouTube
You Will Regret Missing This Engineer Video!,1,misleading_number,Finance|Machine Learning,YouTube
Everyone Is Talking About This Finance!,1,misleading_number,Students|Startup,YouTube
Beginner Friendly Finance Course,0,none,,YouTube
How Finance Works Step by Step,0,none,,YouTube
Beginner Friendly AI Course,0,none,,YouTube
Beginner Friendly Gaming Course,0,none,,YouTube
This Finance Trick Went Viral Overnight!,1,emotional,Startup|Cybersecurity,YouTube
Everyone Is Talking About This Web Development!,1,shock_value,Data Science|Finance,YouTube
How Gaming Works Step by Step,0,none,,YouTube
You Will Regret Missing This Gaming Video!,1,misleading_number,Machine Learning|Mobile,YouTube
The Truth About Health Finally Revealed!,1,exaggeration,Gaming|Machine Learning,YouTube
Technology Project Explanation,0,none,,YouTube
Top 5 Machine Learning Videos You Must Watch!,1,exaggeration,Mobile|AI,YouTube
Machine Learning Demo and Walkthrough,0,none,,YouTube
Engineer Project Explanation,0,none,,YouTube
People Are Shocked After Watching This Machine Learning!,1,shock_value,Python|Kerala,YouTube
Everyone Is Talking About This Mobile!,1,exaggeration,Python|Students,YouTube
Everyone Is Talking About This Mobile!,1,shock_value,Finance|Finance,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
Web Development Tutorial for Beginners,0,none,,YouTube
Finance Project Explanation,0,none,,YouTube
Complete Guide to Web Development,0,none,,YouTube
Complete Guide to AI,0,none,,YouTube
Beginner Friendly Finance Course,0,none,,YouTube
This Gaming Video Is Breaking The Internet!,1,shock_value,Mobile|Cybersecurity,YouTube
Web Development Tutorial for Beginners,0,none,,YouTube
People Are Shocked After Watching This Data Science!,1,exaggeration,Finance|Health,YouTube
Beginner Friendly Startup Course,0,none,,YouTube
This Machine Learning Video Is Breaking The Internet!,1,shock_value,Engineer|Startup,YouTube
This AI Trick Went Viral Overnight!,1,exaggeration,Startup|Web Development,YouTube
Data Science Basics for Students,0,none,,YouTube
This Gaming Trick Went Viral Overnight!,1,emotional,AI|AI,YouTube
This Machine Learning Trick Went Viral Overnight!,1,exaggeration,Machine Learning|Machine Learning,YouTube
Students Explained in 10 Minutes,0,none,,YouTube
I Tried Web Development And THIS Happened!,1,exaggeration,Machine Learning|Web Development,YouTube
This Data Science Experiment Shocked Everyone!,1,curiosity_gap,Technology|Finance,YouTube
Health Analysis with Real Examples,0,none,,YouTube
This Python Video Is Breaking The Internet!,1,shock_value,Web Development|Python,YouTube
This Python Experiment Shocked Everyone!,1,shock_value,Machine Learning|Kerala,YouTube
People Are Shocked After Watching This Health!,1,misleading_number,Technology|Engineer,YouTube
Beginner Friendly Startup Course,0,none,,YouTube
The Truth About Web Development Finally Revealed!,1,emotional,AI|Machine Learning,YouTube
Complete Guide to Kerala,0,none,,YouTube
I Tried Python And THIS Happened!,1,curiosity_gap,Gaming|Engineer,YouTube
Everyone Is Talking About This Data Science!,1,shock_value,Technology|Technology,YouTube
Top 5 Gaming Videos You Must Watch!,1,emotional,Mobile|Gaming,YouTube
Cybersecurity Project Explanation,0,none,,YouTube
Data Science Explained in 10 Minutes,0,none,,YouTube
Startup Basics for Students,0,none,,YouTube
Complete Guide to Gaming,0,none,,YouTube
Data Science Tutorial for Beginners,0,none,,YouTube
Top 5 Python Videos You Must Watch!,1,misleading_number,Engineer|Python,YouTube
How Health Works Step by Step,0,none,,YouTube
Kerala Analysis with Real Examples,0,none,,YouTube
Top 5 Web Development Videos You Must Watch!,1,shock_value,Students|Technology,YouTube
Gaming Analysis with Real Examples,0,none,,YouTube
How Python Works Step by Step,0,none,,YouTube
This Web Development Experiment Shocked Everyone!,1,curiosity_gap,Gaming|AI,YouTube
Kerala Demo and Walkthrough,0,none,,YouTube
I Tried Cybersecurity And THIS Happened!,1,emotional,Mobile|Data Science,YouTube
Gaming Review and Performance Test,0,none,,YouTube
Everyone Is Talking About This Students!,1,misleading_number,Engineer|Health,YouTube
Machine Learning Basics for Students,0,none,,YouTube
Finance Review and Performance Test,0,none,,YouTube
People Are Shocked After Watching This AI!,1,shock_value,Kerala|AI,YouTube
Beginner Friendly Web Development Course,0,none,,YouTube
Python Analysis with Real Examples,0,none,,YouTube
This Web Development Trick Went Viral Overnight!,1,shock_value,Data Science|Finance,YouTube
You Will Regret Missing This Kerala Video!,1,emotional,Finance|Python,YouTube
Web Development Explained in 10 Minutes,0,none,,YouTube
Web Development Tutorial for Beginners,0,none,,YouTube
Finance Analysis with Real Examples,0,none,,YouTube
Beginner Friendly Students Course,0,none,,YouTube
People Are Shocked After Watching This Technology!,1,misleading_number,AI|Python,YouTube
Everyone Is Talking About This Cybersecurity!,1,curiosity_gap,Students|Web Development,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
The Truth About Technology Finally Revealed!,1,emotional,Kerala|AI,YouTube
You Will Regret Missing This Finance Video!,1,emotional,Students|Students,YouTube
You Will Regret Missing This Finance Video!,1,curiosity_gap,Engineer|Web Development,YouTube
Students Analysis with Real Examples,0,none,,YouTube
This Health Experiment Shocked Everyone!,1,exaggeration,Mobile|Gaming,YouTube
This Finance Trick Went Viral Overnight!,1,curiosity_gap,Gaming|Data Science,YouTube
Beginner Friendly Mobile Course,0,none,,YouTube
Beginner Friendly Mobile Course,0,none,,YouTube
People Are Shocked After Watching This Engineer!,1,shock_value,Finance|Health,YouTube
You Won't Believe This Kerala Video!,1,misleading_number,Kerala|Python,YouTube
You Will Regret Missing This Mobile Video!,1,emotional,Machine Learning|Students,YouTube
The Truth About Kerala Finally Revealed!,1,misleading_number,AI|Startup,YouTube
You Won't Believe This Technology Video!,1,emotional,Students|Python,YouTube
How Students Works Step by Step,0,none,,YouTube
Cybersecurity Tutorial for Beginners,0,none,,YouTube
How Data Science Works Step by Step,0,none,,YouTube
The Truth About Finance Finally Revealed!,1,misleading_number,Mobile|Cybersecurity,YouTube
Students Analysis with Real Examples,0,none,,YouTube
Top 5 Data Science Videos You Must Watch!,1,misleading_number,Data Science|Engineer,YouTube
